idx	categoria	marca	nome	pasta_destino
0	eletronicos		Suporte Duplo para Controle PS5	public/produtos/suporte-duplo-para-controle-ps5-0/
1	eletronicos		Suporte Veicular para Starlink Mini com Ventosa Dupla	public/produtos/suporte-veicular-para-starlink-mini-com-ventosa-dupla-1/
2	eletronicos		Película Protetora para Starlink Mini	public/produtos/pelicula-protetora-para-starlink-mini-2/
3	eletronicos		Kit Starlink Mini — Suporte Veicular + Película Protetora	public/produtos/kit-starlink-mini-suporte-veicular-pelicula-protetora-3/
4	eletronicos		Suporte Veicular para Starlink Mini + Carregador Veicular	public/produtos/suporte-veicular-para-starlink-mini-carregador-veicular-4/
5	celulares		Suporte para Celular Tênis, Beach Tennis e Padel — DG Shop	public/produtos/suporte-para-celular-tenis-beach-tennis-e-padel-dg-shop-5/
6	eletronicos		Organizador de Cabos para Starlink Mini — DG Shop	public/produtos/organizador-de-cabos-para-starlink-mini-dg-shop-6/
7	climatizacao	Philco	Ar Condicionado Philco Inverter 9000 BTUs Frio PAC9FT	public/produtos/ar-condicionado-philco-inverter-9000-btus-frio-pac9ft-7/
8	climatizacao	Consul	Ar-Condicionado Consul Triple Inverter 9.000 BTUs CBK09DB Frio	public/produtos/ar-condicionado-consul-triple-inverter-9-000-btus-cbk09db-frio-8/
9	climatizacao	Philco	Ar Condicionado Philco Inverter 12000 BTUs Frio PAC12FC	public/produtos/ar-condicionado-philco-inverter-12000-btus-frio-pac12fc-9/
10	climatizacao	Elgin	Ar-Condicionado Elgin Inverter 12.000 BTUs HIFE12C2CA Frio	public/produtos/ar-condicionado-elgin-inverter-12-000-btus-hife12c2ca-frio-10/
11	climatizacao	Philco	Ar-Condicionado Philco Inverter 12.000 BTUs PAC12QC Quente/Frio	public/produtos/ar-condicionado-philco-inverter-12-000-btus-pac12qc-quente-frio-11/
12	climatizacao	Samsung	Ar-Condicionado Samsung Inverter 12.000 BTUs AR12DYFAAWKXAZ Frio	public/produtos/ar-condicionado-samsung-inverter-12-000-btus-ar12dyfaawkxaz-frio-12/
